Designator,Mid X,Mid Y,Rotation,Layer
AE1,219.837,-118.491,0.0,top
C1,197.612,-93.675,90.0,top
C2,199.263,-93.675,90.0,top
C3,215.392,-115.189,90.0,top
C4,215.392,-118.351,270.0,top
C5,205.613,-126.796,180.0,top
C6,208.915,-126.796,0.0,top
C7,200.506,-130.881,0.0,top
D1,216.027,-103.4795,270.0,top
J1,221.361,-101.727,0.0,top
J2,193.929,-108.331,180.0,top
J3,217.2385,-132.461,90.0,top
J4,197.356,-136.466,0.0,top
J5,207.01,-138.303,270.0,top
R1,214.63,-103.833,90.0,top
R2,195.553,-131.135,180.0,top
R3,198.474,-130.627,90.0,top
SW1,216.281,-96.85,270.0,top
SW2,197.866,-100.152,90.0,top
U1,207.0544,-96.4317,0.0,top
U2,205.105,-114.3,180.0,top
U3,207.264,-132.105,90.0,top
