Designator,Mid X,Mid Y,Rotation,Layer
AE1,242.096,-58.407,0.0,top
BT1,253.429,-84.9515,90.0,bottom
C1,263.58,-53.359,0.0,top
C10,254.4514,-92.3538,90.0,top
C11,242.3864,-93.218,270.0,top
C12,254.4514,-94.4848,270.0,top
C13,251.421615,-105.1152,0.0,top
C14,241.6556,-108.8906,270.0,top
C15,251.0016,-108.456,0.0,top
C16,243.7384,-111.3256,90.0,top
C17,253.3904,-119.5832,0.0,top
C2,261.366,-55.88,90.0,top
C3,241.588,-61.836,90.0,top
C4,243.112,-61.836,90.0,top
C5,264.3124,-73.7616,0.0,top
C6,242.316,-82.7024,0.0,top
C7,242.316,-83.7184,180.0,top
C8,254.8356,-87.4268,180.0,top
C9,242.6744,-90.7288,90.0,top
D1,245.618,-84.9884,180.0,top
D2,245.1974,-110.7536,90.0,top
J1,260.4516,-79.4004,90.0,top
J2,264.5156,-65.024,0.0,bottom
J3,242.3668,-70.1598,180.0,bottom
Q1,246.3302,-101.7016,0.0,top
R1,248.5898,-85.2556,90.0,top
R10,251.5636,-106.934,270.0,top
R11,243.1654,-109.7756,180.0,top
R12,242.6574,-111.2976,270.0,top
R2,245.3405,-83.7184,0.0,top
R3,250.1138,-85.2556,90.0,top
R4,254.8356,-88.4428,0.0,top
R5,254.8356,-89.4588,180.0,top
R6,265.0744,-97.2312,0.0,top
R7,242.9492,-100.702924,90.0,top
R8,242.9492,-102.607924,270.0,top
R9,250.4916,-106.932,270.0,top
SW1,261.0866,-86.0298,180.0,top
SW2,261.0866,-90.3478,180.0,top
SW3,261.0866,-94.6618,180.0,top
SW4,261.7634,-104.412,270.0,top
U1,263.4488,-55.3212,0.0,top
U2,253.272,-65.773,0.0,top
U3,248.5164,-92.2528,270.0,top
U5,245.9736,-106.3752,270.0,top
Y1,247.1928,-79.248,180.0,top
